# Attach there is a file with the values of the sky in mag/arcsec^2, 
# the FWHM (arcsec) of the moffat PSF and the beta value for the three bands. The
# order of the band is always g,r,i. The SDSS plate scale is 0.396127 ASEC/PIX
#
#galaxy	       skyg            skyr            skyi           fwhmg        fwhmr        fwhmi        betag        betar        betai
NGC4644       21.960708       21.137945       20.637978      1.17216      1.16820      1.06920      5.20000      3.40000      4.00000
NGC4711       22.130270       21.074242       20.370500     0.898920      1.11276      1.03356      3.19000      2.89000      3.85000
UGC08004       22.156042       21.170338       20.601520      1.33452     0.990000     0.990000      4.70000      5.30000      5.10000
NGC4816       20.915739       21.093587       20.768439      1.30284      1.10484     0.894960      5.13000      3.23000      3.48000
NGC4816       20.915739       21.093587       20.768439      1.30284      1.02564     0.894960      5.13000      3.23000      3.48000
NGC4956       22.237071       21.305286       20.665635      1.29492      1.17216      1.06524      3.26000      3.11000      3.54000
NGC4961       21.988658       21.001900       20.094097      1.06920     0.902880     0.792000      9.55000      3.09000      5.50000
UGC08231       21.913257       20.882267       20.316293      1.24344      1.07415     0.902880      7.72000      10.9900      1.57000
UGC08234       22.185265       21.167130       20.295425      1.12464      1.23156      1.28304      3.92000      2.56000      3.34000
NGC5000       22.110313       21.182192       20.359201      1.13810      1.08979      1.30046      7.18600      8.90200      5.20000
NGC5016       22.138775       21.115368       20.576302      1.31947      1.29492      1.25532      5.06400      3.48600      2.97800
NGC5029       22.206166       21.097288       20.357175     0.910800     0.871200     0.831600      4.70000      5.06000      2.70000
NGC5056       22.131290       21.122087       20.135078      1.58400      1.43352      1.29492      4.80000      4.70000      5.10000
NGC5157       22.209736       21.200892       20.610279      1.27512      1.32660      1.25532      4.70000      4.80000      4.90000
NGC5205       22.224144       21.180301       20.293708      1.68934      1.29571      1.33056      5.12200      4.83200      4.95000
NGC5198       22.201211       21.127481       20.258699      1.26720      1.10880      1.06920      3.50000      4.30000      4.70000
NGC5267       22.010947       21.070342       20.317320      1.23552      1.05732      1.01376      3.60000      4.90000      6.80000
NGC5289       22.398561       21.436877       20.502765      1.09692      1.14840      1.04544      6.60000      5.20000      6.20000
UGC08733       22.247450       21.316496       20.722056      2.58192     0.938520     0.871200      10.6200      4.40000      1.72000
NGC5320       21.976645       21.052686       20.342586      1.28938      1.21334      1.15870      4.21000      3.65200      2.95200
IC0944       21.352422       20.983397       20.208259      1.05336     0.851400     0.792000      6.00000      6.70000      5.10000
UGC08781       22.095308       21.061822       20.408961      1.01851     0.989208     0.879120      4.67800      6.72600      8.25400
NGC5376       22.140704       21.130218       20.369022      1.16028      1.13652      1.07316      6.40000      4.90000      6.30000
NGC5379       22.252710       21.182865       20.246797      1.66320      1.50084      1.25928      5.50000      4.90000      5.70000
NGC5378       22.585612       21.404366       20.723463     0.970200     0.872784     0.793584      4.77800      6.22800      3.92400
NGC5406       22.355332       21.425633       20.585202      1.00109     0.912384     0.781704      5.17600      9.25800      7.27200
NGC5443       22.147353       21.053535       20.242822      1.14048      1.08504      1.00980      5.40000      3.10000      4.60000
NGC5423       21.624100       20.768390       20.391583      1.08029     0.929016     0.915552      5.27800      4.44800      5.88200
NGC5423       21.624100       20.768390       20.391583      1.08029     0.929016     0.915552      5.27800      4.44800      5.88200
NGC5473       21.856290       21.044626       20.491326      1.21968      1.07316      1.00980      5.86000      3.62000      6.10000
NGC5480       22.055241       20.779628       20.044024      1.40976      1.19196      1.19592      6.10000      5.30000      5.70000
NGC5485       22.155908       21.035973       20.212069      1.36620     0.990000     0.986040      4.10000      4.28000      4.25000
