# name                    u        g_2      r        i        z       
  NGC7562                 14.756   12.582   11.649   11.16    10.86   
  NGC7591                 15.616   13.833   12.991   12.502   12.334  
  UGC12494                16.655   15.1     14.639   14.465   14.833  
  IC5309                  16.441   14.377   13.729   13.317   13.102  
  NGC7611                 15.262   13.286   12.43    11.978   11.694  
  NGC7619                 14.583   12.393   11.48    11.0     10.692  
  NGC7623                 15.546   13.588   12.719   12.265   11.967  
  NGC7631                 15.567   13.605   12.852   12.459   12.261  
  NGC7653                 15.008   13.354   12.731   12.379   12.355  
  NGC7671                 15.399   13.396   12.494   12.013   11.699  
  NGC7683                 15.462   13.307   12.395   11.908   11.592  
  NGC7691                 16.171   13.887   13.254   13.132   13.152  
  UGC12653                16.076   14.466   13.926   13.441   14.72   
  NGC7716                 14.791   12.915   12.22    11.861   11.801  
  NGC7722                 15.6     13.303   12.349   11.838   11.557  
  NGC7738                 15.829   13.854   13.023   12.611   12.41   
  UGC12810                16.183   14.212   13.575   13.277   13.368  
  UGC12816                16.008   14.481   14.043   13.894   13.914  
  NGC7782                 15.553   13.081   12.268   11.834   11.603  
  NGC7787                 16.88    14.97    14.167   13.727   13.494  
  UGC12864                16.739   14.551   13.958   13.779   14.027  
